id,section_id,section_name,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
65,"4",Data Recovery & Secure Deletion,"In the context of HDD PCBs, what is the function of the Motor Driver (VCM Controller)?","It reads the flash memory","It converts analog signals to digital","It controls the spindle motor rotation and head movements","It serves as a buffer RAM","C","The Motor Driver consumes the most power and controls the spindle and head movements.","hard"
66,"5",Wireless Security & WLAN Architectures,"What is the primary function of a Basic Service Set (BSS) in a WLAN architecture?","To route traffic globally","To form a building block consisting of a set of stations and an Access Point","To encrypt data using AES","To permanently store server backups","B","A BSS is the fundamental building block of a WLAN, typically containing an AP and clients.","medium"
67,"5",Wireless Security & WLAN Architectures,"What is the main difference between WPA-Personal and WPA-Enterprise?","WPA-Personal requires a RADIUS server, while Enterprise uses a PSK","WPA-Personal uses a Pre-Shared Key (PSK), while Enterprise uses a centralized RADIUS server for authentication","WPA-Personal does not encrypt data, while Enterprise does","There is no difference","B","WPA-Personal is designed for home use with a shared key, while Enterprise provides individualized authentication via RADIUS.","medium"
68,"5",Wireless Security & WLAN Architectures,"Which of the following is NOT a wireless network attack mentioned in the slides?","Deauthentication","Traffic Jamming","Cross-Site Scripting (XSS)","MAC Spoofing","C","XSS is a web application vulnerability, not a WLAN-specific attack discussed in the slides.","easy"
69,"5",Wireless Security & WLAN Architectures,"True/False: In a Deauthentication attack, the attacker can spoof a MAC address or IP address to act as an authenticated user.","True","False","None of the above","Both A and B","A","By spoofing identifiers, the attacker can hijack or disconnect legitimate users.","medium"
70,"5",Wireless Security & WLAN Architectures,"In the TKIP Per-Packet Key Mixing diagram, what inputs are combined in Phase 1?","Sequence Number and Master Key","MAC Address and Temporal Key","Phase 1 Output and Sequence Number","Plaintext and Keystream","B","Phase 1 of TKIP mixing combines the transmitter's MAC Address and the Temporal Key.","hard"
71,"5",Wireless Security & WLAN Architectures,"In the TKIP Per-Packet Key Mixing diagram, what inputs are combined in Phase 2 to produce the Per-packet key?","MAC Address and Initialization Vector","Phase 1 Output (Intermediate Key) and Sequence Number","Master Key and Session Key","RC4 algorithm and WEP key","B","Phase 2 combines the Intermediate Key from Phase 1 with the Sequence Number.","hard"
72,"5",Wireless Security & WLAN Architectures,"What is the primary function of the Message Integrity Check (MIC) in WPA?","To encrypt the payload","To prevent tampering and guarantee message integrity","To authenticate the RADIUS server","To generate the Initial Vector","B","MIC (also known as Michael) is added in WPA to prevent tampering with wireless frames.","medium"
73,"5",Wireless Security & WLAN Architectures,"Which principle dictates the operation of a Session Hijacking attack?","The attacker floods the network with high frequency radio signals","The attacker steals a legal authenticated conversation session ID to control the session","The attacker uses brute force to guess the PSK","The attacker physically destroys the AP","B","In Session Hijacking, the attacker steals the session ID while the conversation is still ongoing.","medium"
74,"5",Wireless Security & WLAN Architectures,"What is the main difference between WPA2 and WPA3?","WPA2 uses AES, while WPA3 uses RC4","WPA2 uses AES-CCMP, while WPA3 uses the stronger AES-GCM and individual encryption keys","WPA2 does not require passwords, while WPA3 does","WPA2 is for wired networks, while WPA3 is for wireless","B","WPA3 upgrades the encryption from AES-CCMP to AES-GCM and eliminates the reliance on a single shared PSK for data privacy.","hard"
75,"5",Wireless Security & WLAN Architectures,"Which of the following is NOT an improvement that TKIP introduced over WEP?","Per-Packet Key Mixing","Increased IV Size","Switching from RC4 to AES","Message Integrity (MIC)","C","TKIP still uses the RC4 stream cipher to remain hardware compatible with WEP devices; AES was introduced in WPA2.","hard"
76,"5",Wireless Security & WLAN Architectures,"True/False: A Rogue Access Point is an unauthorized AP injected into a WLAN to provide open access to unauthorized clients.","True","False","None of the above","Both A and B","A","Rogue APs bypass security controls, allowing attackers to access or monitor the network.","easy"
77,"5",Wireless Security & WLAN Architectures,"In an infrastructure-based WLAN diagram, what component connects multiple BSSs together to form an ESS?","RADIUS Server","Distribution System","Bluetooth adapter","Extensible Authentication Protocol (EAP)","B","The Distribution System connects the Access Points of multiple BSSs to form an Extended Service Set.","medium"
78,"5",Wireless Security & WLAN Architectures,"What is the primary function of the WPA DOS Attack mechanism described in the slides?","It shuts down the attacker's laptop","When a WPA device receives two packets of unauthorized data within one second, it shuts itself down assuming it is under attack","It increases the bandwidth of the AP","It alerts the police","B","WPA's countermeasure to rapid unauthorized packets is to shut down to prevent key recovery, inadvertently enabling DoS.","hard"
79,"5",Wireless Security & WLAN Architectures,"Which of the following is a characteristic of Wireless Sensor Networks (WSNs)?","They cover geographical areas larger than a city","They consist of resource-constrained sensor nodes deployed for monitoring","They rely exclusively on wired backbones","They use RC4 encryption only","B","WSNs are a type of MANET using resource-constrained nodes for military, environmental, or medical monitoring.","medium"
80,"5",Wireless Security & WLAN Architectures,"True/False: WPA-Enterprise uses a Pre-Shared Key (PSK) managed on the AP without needing a central authentication server.","True","False","None of the above","Both A and B","B","False. WPA-Enterprise requires a central RADIUS server for authentication, while WPA-Personal uses the PSK.","medium"
81,"6",Steganography & Information Hiding,"What is the primary function of Steganography?","To convert plaintext to ciphertext using mathematical algorithms","To hide the fact that a secret message even exists within a digital medium","To permanently delete files from a hard drive","To provide timely access to a system","B","Steganography conceals the existence of data, whereas cryptography scrambles data.","easy"
82,"6",Steganography & Information Hiding,"What is the main difference between Cryptography and Steganography according to the slides?","Cryptography alters the structure of the message, while steganography does not alter the secret message structure","Cryptography is less popular than steganography","Steganography encrypts the cover, cryptography encrypts the key","There is no difference","A","Cryptography modifies the structure to make it unreadable; steganography leaves the structure intact but hides it.","medium"
83,"6",Steganography & Information Hiding,"Which of the following is NOT a component of a Stegosystem?","Cover Medium","Secret Message","Stego-Key","RADIUS Server","D","A stegosystem involves a Cover, a Secret Message, a Stego-object, and optionally a Stego-Key.","easy"
84,"6",Steganography & Information Hiding,"True/False: In the Stegosystem pipeline diagram, the Stegosystem encoder takes the secret message and cover (and optional key) to produce a Stego object.","True","False","None of the above","Both A and B","A","This correctly describes the embedding process shown in the steganography block diagram.","medium"
85,"6",Steganography & Information Hiding,"In LSB Image Steganography, what specific part of the cover medium is altered?","The most significant bits of each pixel","The file extension","The least significant bit in each byte of the multimedia file","The entire header of the TCP packet","C","LSB changes the least significant bit, making the visual alteration imperceptible to the human eye.","easy"
86,"6",Steganography & Information Hiding,"Which of the following is NOT a technique for Audio Steganography?","LSB coding","Phase coding","Keyed columnar transposition","Parity coding","C","Keyed columnar transposition is a conventional cryptographic cipher, not an audio steganography technique.","medium"
87,"6",Steganography & Information Hiding,"What is the primary function of Linguistic Steganography?","Hiding data in the unused bits of an MP3 file","Hiding secret messages within natural language text using syntax modification or generation","Changing the IP headers in network traffic","Applying a Fast Fourier Transform to a video","B","Linguistic steganography hides data within natural language text, making it look like normal communication.","medium"
88,"6",Steganography & Information Hiding,"Which principle dictates the Phase Coding method in audio steganography?","It overwrites the entire audio signal with white noise","It replaces the phase of the first segment with the secret message and adjusts subsequent phases to maintain natural sound","It inserts fake TCP packets between audio frames","It plays the record backward","B","Phase coding maintains the relative phase differences between segments to avoid audible distortion.","hard"
89,"6",Steganography & Information Hiding,"True/False: Network steganography hides information inside network traffic, such as within TCP/IP headers or payloads.","True","False","None of the above","Both A and B","A","Network steganography exploits network protocols and timing to conceal data.","medium"
90,"6",Steganography & Information Hiding,"What is the main difference between Modification-based and Generation-based Linguistic Steganography?","Modification changes existing text, while Generation uses AI/models to create entirely new text","Modification is for images, while Generation is for text","Modification is a cryptographic algorithm, while Generation is a hash function","There is no difference","A","Modification tweaks existing grammar/words, while Generation relies on neural models to produce new stego-text.","hard"
91,"6",Steganography & Information Hiding,"Which of the following is a known Steganography tool mentioned in the slides?","TestDisk","DBAN","Steghide","Wireshark","C","Steghide, OpenStego, and OpenPuff are listed as steganography tools.","medium"
92,"6",Steganography & Information Hiding,"In the Phase Coding algorithm flow, what step immediately follows the Fast Fourier Transform (FFT)?","Data Embedding","Phase Difference Calculation","Inverse Transformation (IFFT)","Concatenation","B","After transforming to the frequency domain, the algorithm calculates and stores phase differences before embedding data.","hard"
93,"6",Steganography & Information Hiding,"True/False: A major challenge facing steganography is payload capacity, as there is limited space for embedding information without noticeable alterations.","True","False","None of the above","Both A and B","A","High-capacity embedding usually introduces detectable artifacts, limiting practical payload size.","medium"
94,"6",Steganography & Information Hiding,"What is the primary function of the Steganographic Key?","It encrypts the entire hard drive","It acts as a password/parameter to ensure only intended recipients can extract the hidden message","It compresses the video file","It translates the language of the text","B","The Stego-Key ensures that even if the stego-object is detected, the message cannot be extracted without the key.","medium"
95,"6",Steganography & Information Hiding,"Which of the following is NOT a Detection Technique for steganography?","Statistical analysis","File signature analysis","Initial Permutation","Signal processing","C","Initial Permutation is a step in the DES encryption algorithm, not a steganalysis detection technique.","easy"
96,"1","Security Foundations & CIA Triad","What is the primary function of the Detection security mechanism?","Preventing attackers from violating rules","Responding to an actual attack","Discovering and reporting violations of security rules and policies","Returning the system to function correctly","C","Detection focuses on identifying and reporting when a security breach or violation has occurred.","medium"
97,"2",Intro to Cryptography & Ciphers,"In the Subtitutional Cipher flow, what happens when the substituted character goes beyond the last character (Z)?","The encryption fails and stops","It wraps around back to the beginning of the alphabet","It converts the letter to a number permanently","It drops the character from the ciphertext","B","Substitution ciphers use modulo 26 arithmetic, so they wrap around the alphabet.","easy"
98,"4",Data Recovery & Secure Deletion,"True/False: Erasing files from a Solid State Drive (SSD) operates exactly the same way as wiping a traditional Hard Disk Drive (HDD), making tools like DBAN equally effective on both.","True","False","None of the above","Both A and B","B","The slides specifically note that DBAN deletes information stored on HDDs, not SSDs.","hard"
99,"5",Wireless Security & WLAN Architectures,"What is the primary function of the Extended Service Set (ESS) Identifier (SSID)?","To uniquely identify a single Access Point's MAC address","To serve as the public key for Asymmetric Encryption","To act as the network name identifying the entire ESS","To scramble the TCP/IP header","C","The SSID is the network name assigned to an Extended Service Set.","medium"
